TradeDate,FromCurrency,ToCurrency,ExchangeRate
2023-11-19,P,E,1.1422
2023-11-19,E,P,0.8755
2023-11-20,P,E,1.1422
2023-11-20,E,P,0.8755
2023-11-21,P,E,1.1426
2023-11-21,E,P,0.8752
2023-11-22,P,E,1.145
2023-11-22,E,P,0.8734
2023-11-23,P,E,1.1494
2023-11-23,E,P,0.87
2023-11-24,P,E,1.1465
2023-11-24,E,P,0.8722
2023-11-25,E,P,0.8692
2023-11-25,P,E,1.1505
2023-11-26,E,P,0.8751
2023-11-26,P,E,1.1427
2023-11-27,E,P,0.8751
2023-11-27,P,E,1.1427
2023-11-28,E,P,0.8683
2023-11-28,P,E,1.1517
2023-11-29,P,E,1.1527
2023-11-29,E,P,0.8675
2023-11-30,P,E,1.1551
2023-11-30,E,P,0.8657
2023-12-01,P,E,1.1592
2023-12-01,E,P,0.8627
2023-12-02,P,E,1.1618
2023-12-02,E,P,0.8607
2023-12-03,P,E,1.168
2023-12-03,E,P,0.8562
2023-12-04,P,E,1.168
2023-12-04,E,P,0.8562
2023-12-05,P,E,1.1652
2023-12-05,E,P,0.8582
2023-12-06,P,E,1.1652
2023-12-06,E,P,0.8582
2023-12-07,P,E,1.168
2023-12-07,E,P,0.8562
2023-12-08,P,E,1.1665
2023-12-08,E,P,0.8573
2023-12-09,P,E,1.1655
2023-12-09,E,P,0.858
2023-12-10,P,E,1.1669
2023-12-10,E,P,0.857
2023-12-11,P,E,1.1669
2023-12-11,E,P,0.857
2023-12-12,P,E,1.166
2023-12-12,E,P,0.8576
2023-12-13,P,E,1.1636
2023-12-13,E,P,0.8594
2023-12-14,P,E,1.1616
2023-12-14,E,P,0.8609
2023-12-15,P,E,1.1598
2023-12-15,E,P,0.8622
2023-12-16,P,E,1.1631
2023-12-16,E,P,0.8598
2023-12-17,P,E,1.1639
2023-12-17,E,P,0.8592
2023-12-18,P,E,1.1639
2023-12-18,E,P,0.8592
2023-12-19,P,E,1.1616
2023-12-19,E,P,0.8609
2023-12-20,P,E,1.1594
2023-12-20,E,P,0.8625
2023-12-21,P,E,1.1555
2023-12-21,E,P,0.8654
2023-12-22,E,P,0.8669
2023-12-22,P,E,1.1535
2023-12-23,P,E,1.1535
2023-12-23,E,P,0.8669
2023-12-24,P,E,1.1489
2023-12-24,E,P,0.8704
2023-12-25,P,E,1.1489
2023-12-25,E,P,0.8704
2023-12-26,P,E,1.1489
2023-12-26,E,P,0.8704
2023-12-27,P,E,1.1489
2023-12-27,E,P,0.8704
2023-12-28,P,E,1.15
2023-12-28,E,P,0.8696
2023-12-29,P,E,1.1519
2023-12-29,E,P,0.8681
2023-12-30,P,E,1.1513
2023-12-30,E,P,0.8686
2023-12-31,P,E,1.1526
2023-12-31,E,P,0.8676
2024-01-01,P,E,1.1526
2024-01-01,E,P,0.8676
2024-01-03,P,E,1.1554
2024-01-03,E,P,0.8655
2024-01-04,P,E,1.1547
2024-01-04,E,P,0.866
2024-01-02,E,P,0.8676
2024-01-02,P,E,1.1526
2024-01-03,E,P,0.8655
2024-01-03,P,E,1.1554
2024-01-05,P,E,1.159
2024-01-05,E,P,0.8628
2024-01-06,P,E,1.1602
2024-01-06,E,P,0.8619
2024-01-07,P,E,1.1629
2024-01-07,E,P,0.8599
2024-01-08,P,E,1.1629
2024-01-08,E,P,0.8599
2024-01-09,P,E,1.1605
2024-01-09,E,P,0.8617
2024-01-10,P,E,1.1633
2024-01-10,E,P,0.8596
2024-01-11,P,E,1.1623
2024-01-11,E,P,0.8604
2024-01-12,E,P,0.8602
2024-01-12,P,E,1.1625
2024-01-13,E,P,0.8594
2024-01-13,P,E,1.1636
2024-01-14,E,P,0.8586
2024-01-14,P,E,1.1647
2024-01-15,P,E,1.1647
2024-01-15,E,P,0.8586
2024-01-16,P,E,1.1628
2024-01-16,E,P,0.86
2024-01-17,E,P,0.8605
2024-01-17,P,E,1.1621
2024-01-18,E,P,0.8586
2024-01-18,P,E,1.1647
2024-01-19,P,E,1.1652
2024-01-19,E,P,0.8582
2024-01-20,P,E,1.1663
2024-01-20,E,P,0.8574
2024-01-21,P,E,1.1659
2024-01-21,E,P,0.8577
2024-01-22,P,E,1.1659
2024-01-22,E,P,0.8577
2024-01-23,P,E,1.166
2024-01-23,E,P,0.8576
2024-01-24,E,P,0.8556
2024-01-24,P,E,1.1688
2024-01-25,P,E,1.1686
2024-01-25,E,P,0.8557
2024-01-26,E,P,0.8558
2024-01-26,P,E,1.1685
2024-01-27,P,E,1.1721
2024-01-27,E,P,0.8532
2024-01-28,E,P,0.8545
2024-01-28,P,E,1.1703
2024-01-29,P,E,1.1703
2024-01-29,E,P,0.8545
2024-01-30,E,P,0.8525
2024-01-30,P,E,1.173
2024-01-31,P,E,1.1716
2024-01-31,E,P,0.8535
2024-02-01,P,E,1.1711
2024-02-01,E,P,0.8539
2024-02-02,P,E,1.1716
2024-02-02,E,P,0.8535
2024-02-03,P,E,1.1714
2024-02-03,E,P,0.8537
2024-02-04,P,E,1.1726
2024-02-04,E,P,0.8528
2024-02-05,P,E,1.1726
2024-02-05,E,P,0.8528
2024-02-06,P,E,1.1723
2024-02-06,E,P,0.853
2024-02-07,P,E,1.1689
2024-02-07,E,P,0.8555
2024-02-08,P,E,1.1729
2024-02-08,E,P,0.8526
2024-02-09,E,P,0.8535
2024-02-09,P,E,1.1716
2024-02-10,P,E,1.171
2024-02-10,E,P,0.854
2024-02-11,E,P,0.854
2024-02-11,P,E,1.171
2024-02-12,E,P,0.854
2024-02-12,P,E,1.171
2024-02-13,P,E,1.1715
2024-02-13,E,P,0.8536
2024-02-14,E,P,0.8513
2024-02-14,P,E,1.1747
2024-02-15,E,P,0.8526
2024-02-15,P,E,1.1729
2024-02-16,E,P,0.8551
2024-02-16,P,E,1.1695
2024-02-17,P,E,1.1686
2024-02-17,E,P,0.8557
2024-02-18,P,E,1.1693
2024-02-18,E,P,0.8552
2024-02-19,P,E,1.1693
2024-02-19,E,P,0.8552
