report_id,name,chart?,pages
089,Average_System_Frequency,y,1
095,Balance_&_Imbalance_Market_Cost,y,1
010,Daily_Load_Forecast_Summary,y,1
036,Demand_Control,y,1
014,Forecast_Imbalance,y,1
026,Imbalance_Price_Report(Imbalance_Settlement_Period),y,1
087,Interconnector_Flows_&_Residual_Capacity,n,1
084,Trading_Day_Ex_Rate,n,1
102,Unit_Under_Test,n,1
016,Aggregated_Wind_Forecast,n,2
013,Four_Day_Aggregated_Wind_Forecast,n,2
025,Imbalance_Price_Report(Imbalance_Pricing_Period),y,6
099,Aggregated_Contracted_Demand_Quantities,n,12
098,Aggregated_Contracted_Generation_Quantities,n,12
100,Aggregated_Contracted_Wind_Quantities,y,12
