report_id,name,chart?
010,Daily_Load_Forecast_Summary,y
013,Four_Day_Aggregated_Wind_Forecast,n
014,Forecast_Imbalance,y
016,Aggregated_Wind_Forecast,n
021,Anonymised_IncDec_Curve,y
023,Final_Physical_Notificaiton,n
025,Imbalance_Price_Report(Imbalance_Pricing_Period),y
026,Imbalance_Price_Report(Imbalance_Settlement_Period),y
033,Forecast_Availability,n
036,Demand_Control,y
037,Daily_Dispatch_Instructions_D+1,n
038,Daily_Dispatch_Instructions_D+4,n
084,Trading_Day_Ex_Rate,n
086,Daily_Meter_Data,n
087,Interconnector_Flows_&_Residual_Capacity,n
089,Average_System_Frequency,y
095,Balance_&_Imbalance_Market_Cost,y
096,Dispatch_Quantity,n
098,Aggregated_Contracted_Generation_Quantities,n
099,Aggregated_Contracted_Demand_Quantities,n
100,Aggregated_Contracted_Wind_Quantities,y
101,Average_Outturn_Availability,n
102,Unit_Under_Test,n
107,Generator_Unit_Technical_Characteristics_Transactions,n
